label,class,name,time1,time2,status,starting_time,ending_time
PERSON_B,H,NAME_43,1703808000000 ,1703814500000 ,Fix,2023/12/29 0:00,2023/12/29 0:16
PERSON_Y,B,NAME_0,1703850510000 ,1703870010000 ,Wait,2023/12/29 0:08,2023/12/29 2:32
PERSON_H,E,NAME_88,1703809000000 ,1703819900000 ,Run,2023/12/29 0:54,2023/12/29 4:13
PERSON_Z,C,NAME_54,1703807000000 ,1703808990000 ,Run,2023/12/29 1:52,2023/12/29 4:28
PERSON_W,J,NAME_16,1703808000000 ,1703810000000 ,Wait,2023/12/29 0:55,2023/12/29 4:41
PERSON_K,Q,NAME_64,1703808000000 ,1703814500000 ,Fix,2023/12/29 0:09,2023/12/29 3:43
PERSON_J,Z,NAME_72,1703850510000 ,1703870010000 ,Wait,2023/12/29 0:10,2023/12/29 0:29
PERSON_F,V,NAME_93,1703809000000 ,1703819900000 ,Wait,2023/12/28 23:57,2023/12/29 0:01
PERSON_S,N,NAME_2,1703807000000 ,1703808990000 ,Wait,2023/12/29 0:05,2023/12/29 3:35
PERSON_V,D,NAME_84,1703808000000 ,1703810000000 ,Mente,2023/12/29 1:02,2023/12/29 3:32
PERSON_Q,Y,NAME_63,1703808021352 ,1703810021352 ,Wait,2023/12/29 1:46,2023/12/29 2:44
PERSON_V,C,NAME_89,1703808528626 ,1703810528626 ,Fix,2023/12/29 1:41,2023/12/29 2:08
PERSON_B,W,NAME_88,1703808587879 ,1703813744979 ,Fix,2023/12/29 0:45,2023/12/29 3:05
